new GeoID,SUM of Disability,SUM of Poverty,SUM of Women That gave Birth,SUM of Health Insurance Regular,SUM of Total Number of People,Pharmacies,"Median
family
income",No. of POC
,0,0,0,0,0,32,,
001,10045,23671,2148,168204,169185,32,52806,34852
003,3044,4056,282,35330,36491,6,51431,2152
005,1106,2321,127,10816,10910,2,38535,207
007,1912,3822,198,20888,22388,4,39612,10880
009,2013,3675,299,26370,26598,6,46537,265
011,1411,1947,138,15417,17747,5,47644,816
013,3170,8290,480,44565,44898,13,49668,11269
015,1998,4035,203,16810,18105,3,39443,11080
017,2355,7300,291,29797,30105,7,41937,10295
019,9032,13576,1041,132858,133789,24,54644,13780
021,17191,28397,2319,263543,266981,61,54981,16819
023,9317,15490,741,85753,87829,19,46799,6060
025,11610,20594,2173,219743,221200,43,65594,42028
027,8112,10658,583,79898,80705,16,48462,4035
029,943,646,178,10317,10353,0,74320,1242
031,4907,6493,504,66528,67944,21,56842,3940
033,2216,3698,105,21799,22785,2,44401,7359
035,11412,20118,1747,158399,159852,42,53285,14386
037,4055,7810,934,74534,75070,10,66120,9533
039,2127,4757,333,28198,28515,8,44949,484
041,1067,2975,287,13580,13796,2,45932,4759
043,685,1549,85,10954,10997,3,39406,142
045,7572,17794,1464,98630,98898,23,47460,20669
047,4282,10245,528,48845,51474,19,45193,15699
049,7134,13598,1422,94556,101405,21,53604,21802
051,27286,57149,4901,301198,333582,54,50910,130096
053,1464,2274,401,27196,27575,2,66213,1599
055,2049,2483,332,36507,36718,14,65778,991
057,12466,24111,2045,166501,168002,27,54652,16632
059,3074,5317,251,42276,42543,6,61659,2765
061,4139,8958,967,49541,49836,15,40774,12708
063,15885,40371,3279,315267,320146,60,62890,119414
065,4225,11164,692,49106,49609,10,41857,28674
067,21901,57871,4148,377617,380583,78,59867,104660
069,5829,7480,956,66809,67598,8,51591,17575
071,17982,29172,2549,224107,226097,51,53366,39793
073,984,1457,53,10537,10584,1,55559,3302
075,728,1067,60,8003,8089,1,34831,40
077,4442,8327,560,58143,60854,13,57203,19534
079,2009,3884,218,18226,20524,3,48409,7552
081,29264,75142,7161,533209,537113,97,59367,188526
083,4669,12615,399,48290,49291,12,40569,26469
085,10727,19394,1581,127148,133074,14,52708,29276
087,5119,7541,300,61320,61695,14,51596,802
089,6971,11856,1206,114703,115613,24,58381,3930
091,2108,4114,380,20677,22010,5,39973,13426
093,5396,9060,798,48624,52169,4,47281,18415
095,352,1023,104,4234,4697,0,44406,1362
097,10468,17801,2673,182898,183965,35,59639,22627
099,2987,7551,379,42767,42983,7,49500,988
101,15653,26252,3251,209927,211320,26,58187,35501
103,991,1929,65,9243,9326,2,45876,2807
105,5776,9290,663,61642,62676,11,53375,12597
107,6280,12650,814,54367,55344,16,42317,22967
109,6230,9082,833,85137,85670,14,54765,4883
111,4557,6011,518,43618,44527,8,46702,712
113,2668,5925,383,36392,36532,10,49838,547
115,1829,2811,208,21025,21269,6,43293,8996
117,2049,4326,427,22105,22213,7,47243,910
119,45260,114598,15254,1095629,1100984,206,67375,362223
121,1171,1889,82,14879,14951,6,41727,104
123,2356,3877,90,24975,25891,7,43740,4919
125,5850,9398,933,94263,98618,20,61068,12031
127,7543,13630,1078,93565,94628,26,55186,38797
129,13370,29750,2025,222703,225175,47,65188,30848
131,1333,3575,281,17225,17917,3,40230,10302
133,15410,23993,4808,161576,201597,33,48380,32053
135,5995,17024,1043,146803,147376,21,79811,17390
137,978,1653,63,11632,12293,2,51630,2360
139,2881,4926,627,38686,40240,9,54785,14687
141,4831,7354,726,58540,59964,11,54087,9054
143,1094,1688,85,12918,13002,2,48870,2990
145,3895,7078,581,38670,38999,7,54747,10568
147,12363,33838,1803,169245,170600,41,53432,60904
149,1489,1824,205,19176,19413,3,55846,854
151,13572,21467,1620,142590,143735,22,49257,9486
153,3477,10484,333,42067,43301,11,38881,13856
155,10018,31458,1203,117289,118836,26,34788,28282
157,7742,16265,1027,89903,90903,21,48641,17271
159,12149,23768,1518,143756,145784,26,52850,24491
161,6946,11572,1049,63687,64592,12,43702,6394
163,4356,12543,691,58628,59468,10,44296,15818
165,2587,8429,366,32921,34345,6,37232,13394
167,5297,8037,792,60808,62148,16,58125,7147
169,4389,6486,246,44138,44588,9,49134,1783
171,6571,11691,829,70753,71439,19,47248,3000
173,1249,2614,187,14005,14166,3,48101,169
175,1571,4187,212,32563,32979,11,52674,1187
177,184,449,44,2718,3436,1,37708,1309
179,9459,16712,3105,234560,235699,39,71538,28990
181,4243,8208,396,42279,42650,9,41025,21964
183,47332,93182,13972,1105378,1112883,186,81461,233705
185,1726,3511,333,18156,18889,4,40323,9727
187,1210,2675,79,11051,11183,2,41007,5457
189,3372,11203,335,53821,54077,12,56112,1027
191,8272,21389,1657,113436,117692,26,49504,38014
193,6587,11293,929,65573,66335,8,43439,3117
195,5912,14610,636,77985,78844,18,47716,31852
197,2717,5685,576,36865,37198,5,50990,1301
199,1344,2686,247,18210,18357,3,42252,201
Grand Total,675374,1379672,124231,10168317,10367022,2028,,
